Name,Position,Duration,Tournament,Match Date,Umpire 1,Game,Third Umpire,Camera Angle,Umpire 2,Club,Stage,Search Event,Instant Replay Official,Year,Chukka,Set Play,Throw-in Outcome,Player,Team,Foul,Foul Type,Chukka Length,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Goal,Highlight Reel,Foul Outcome,Umpire Focal,Umpire Trailing,Penalty Block,Penalties,Penalty Outcome,Assist Outcome,Assist,Knock-in Player 2
Throw-in (16),3675466,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,Throw-in,Santa Clara win throw-in,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Shot At Goal (20),3683466,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,Luis Escobar,Santa Clara,,,,Shot At Goal,Goal,Attacking 30,69;18,,,,,,,,,,,
Goal Santa Clara (9),3685833,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,Luis Escobar,Santa Clara,,,,,,,,Goal Santa Clara,,,,,,,,,,
Assist (7),3700833,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,Matias Magrini,Santa Clara,,,,,,,,,,,,,,,,Successful,Matias Magrini,
Throw-in (17),3744300,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,Throw-in,Dutta Corp win throw-in,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Knock In (6),3872370,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,Knock In,,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Foul (7),3909000,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,Luis Escobar,Santa Clara,Foul,Crossing,,,,Attacking Half,121;80,,,Penalty 5,70;81,135;143,,,,,,
Foul Received (7),3909000,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,Timmy Dutta,Dutta Corp,Foul Received,Crossing,,,,Defending Half,24;195,,,Penalty 5,,,,,,,,
Free Hit,3909576,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,Free Hit,,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Penalty 5 (2),4025033,30000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,Penalty 5,,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Foul (8),4029766,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,Timmy Dutta,Dutta Corp,Foul,Right of Way,,,,Attacking Half,71;108,,,Penalty 5,65;194,135;135,,,,,,
Foul Received (8),4029766,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,Matias Magrini,Santa Clara,Foul Received,Right of Way,,,,Defending Half,73;194,,,Penalty 5,,,,,,,,
Penalty 5 (3),4086766,30000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,Penalty 5,,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Knock In (7),4129800,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,Knock In,,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Non Call (4),4151433,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,,Team,Non Call,Riding Into Shot,,,,,,,,,,,,,,,,
Shot At Goal (21),4448674,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Mariano Obregon,Dutta Corp,,,,Shot At Goal,Wide,Attacking 30,84;13,,,,,,,,,,,
Throw-in (18),4453100,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,Throw-in,Dutta Corp win throw-in,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Chukka Length (5),4457503,443604,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,,Team,,,Chukka Length,,,,,,,,,,,,,,,
Knock In (8),4487920,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,Knock In,,Ignatius Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,Matias Magrini
Shot At Goal (22),4503896,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Lucas Diaz Alberdi,Dutta Corp,,,,Shot At Goal,Goal,Attacking 30,72;8,,,,,,,,,,,
Goal Dutta Corp (6),4504530,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Lucas Diaz Alberdi,Dutta Corp,,,,,,,,Goal Dutta Corp,,,,,,,,,,
Assist (8),4519530,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Timmy Dutta,Dutta Corp,,,,,,,,,,,,,,,,Successful,Timmy Dutta,
Shot At Goal (23),4548490,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Matias Magrini,Santa Clara,,,,Shot At Goal,Short,Attacking 30,96;11,,,,,,,,,,,
Throw-in (19),4559575,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,Throw-in,Santa Clara win throw-in,Henry Porter,Santa Clara,,,,,,,,,,,,,,,,,,
Assist (9),4566343,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Henry Porter,Santa Clara,,,,,,,,,,,,,,,,Unsuccessful,Henry Porter,
Shot At Goal (24),4577452,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Timmy Dutta,Dutta Corp,,,,Shot At Goal,Wide,Attacking 30,87;30,,,,,,,,,,,
Assist (10),4593020,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,,,,Unsuccessful,Mariano Obregon,
Knock In (9),4625675,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,Knock In,,Ignatius Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,Matias Magrini
Foul (9),4667893,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Henry Porter,Santa Clara,Foul,Blocking,,,,Defending 30,87;284,,,Penalty 30 yards,140;248,74;181,,,,,,
Foul Received (9),4667893,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Mariano Obregon,Dutta Corp,Foul Received,Blocking,,,,Attacking 30,63;20,,,Penalty 30 yards,,,,,,,,
Goal Dutta Corp (7),4703595,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Facundo Obregon,Dutta Corp,,,,,,,,Goal Dutta Corp,,,,,,,,,,
Penalty 30 yards Spot (1),4726926,10000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,Penalty 30 yards Spot,Goal,,,
