Name,Position,Duration,Camera Angle,Umpire 2,Instant Replay Official,Search Event,Club,Stage,Game,Tournament,Match Date,Umpire 1,Third Umpire,Year,Team,Chukka Length,Chukka,Set Play,Throw-in Outcome,Player,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Assist Outcome,Assist,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalty Block,Goal,Penalties,Penalty Outcome,Highlight Reel
Safety 60,5137433,15000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 6,,,Sapo Caset,,,,,,,,,,,,,,,Safety 60,Blocked,
Penalty Block,5143066,10000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,,,Juan Britos,,,,,,,,,,,,,Penalty Block,,,,
Shot At Goal (20),5195700,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,,,Joaquin Panelo,Shot At Goal,Wide,Attacking 60,55;45,,,,,,,,,,,,,
Free Hit,5207799,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,Free Hit,,Juan Britos,,,,,,,,,,,,,,,,,
Assist (5),5214233,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,,,Juan Britos,,,,,Unsuccessful,Juan Britos,,,,,,,,,,,
Shot At Goal (21),5236066,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,,,Joaquin Panelo,Shot At Goal,Goal,Attacking 30,72;17,,,,,,,,,,,,,
Goal Park Place (4),5236900,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,,,Joaquin Panelo,,,Attacking 30,72;6,,,,,,,,,,Goal Park Place,,,
Knock In (9),5245466,40000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 6,Knock In,,Sapo Caset,,,,,,,,,,,,,,,,,
Assist (6),5252566,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,,,Juan Britos,,,,,Successful,Juan Britos,,,,,,,,,,,
Throw-in (11),5290791,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,Throw-in,Park Place win throw-in,Juan Britos,,,,,,,,,,,,,,,,,
Goal Park Place (5),5391766,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,,,Juan Britos,,,Attacking 30,75;7,,,,,,,,,,Goal Park Place,,,
Safety 60 (1),5409533,15000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,,,Juan Britos,,,,,,,,,,,,,,,Safety 60,Goal,
Throw-in (12),5448133,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 6,Throw-in,Tonkawa win throw-in,Ignacio Toccalino,,,,,,,,,,,,,,,,,
Shot At Goal (22),5456466,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 6,,,Sapo Caset,Shot At Goal,Wide,Attacking 30,52;35,,,,,,,,,,,,,
Knock In (10),5506333,40000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,Knock In,,Joaquin Panelo,,,,,,,Alfredo Bigatti,,,,,,,,,,
Shot At Goal (23),5541266,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 6,,,Sapo Caset,Shot At Goal,Wide,Attacking 30,82;31,,,,,,,,,,,,,
Foul (18),5584066,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 6,,,Matias Gonzalez,,,Attacking 30,85;26,,,,Foul,Uneven Ride-Off,Penalty 5B,94;7,33;59,,,,,
Foul Received (18),5584066,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,,,Alfredo Bigatti,,,Defending 30,65;277,,,,Foul Received,Uneven Ride-Off,Penalty 5B,,,,,,,
Knock In (11),5587033,40000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,Knock In,,Alfredo Bigatti,,,,,,,,,,,,,,,,,
Penalty 5b (2),5656666,30000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,Penalty 5b,,Joaquin Panelo,,,,,,,,,,,,,,,,,
Shot At Goal (24),5673366,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,,,Joaquin Panelo,Shot At Goal,Goal,Attacking 30,72;12,,,,,,,,,,,,,
Goal Park Place (6),5674100,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 6,,,Joaquin Panelo,,,Attacking 30,70;4,,,,,,,,,,Goal Park Place,,,Goals
