Name,Position,Duration,Umpire 2,Stage,Club,Third Umpire,Tournament,Country,Umpire 1,Instant Replay Official,Search Event,Match Date,Game,Camera Angle,Tournament Handicap,Set Play,Chukka,Year,Throw-in Outcome,Player,Team,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Foul,Foul Type,Penalty Block,Knock-in Player 2,Foul Outcome,Penalties,Penalty Outcome
Assist (5),528729,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Jesse Bray,JC Polo/Folded Hills,,,,,,,Unsuccessful,Jesse Bray,,,,,,,
Shot At Goal (13),532375,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Jesse Bray,JC Polo/Folded Hills,Shot At Goal,63;93,Attacking Half,Wide,,,,,,,,,,,
Shot At Goal (14),537211,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,JC Polo/Folded Hills Player 4,JC Polo/Folded Hills,Shot At Goal,59;8,Attacking 30,Wide,,,,,,,,,,,
Knock In (4),569032,40000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Knock In,Chukka 2,2021,,Remy Muller,Cavallo Ranch,,,,,,,,,,,,,,,
Goal JC Polo/Folded Hills,576154,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Bayne Bossom,JC Polo/Folded Hills,,76;2,Attacking 30,,Goal JC Polo/Folded Hills,,,,,,,,,,
Foul (2),587401,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,John Bickford,Cavallo Ranch,,60;251,Defending 60,,,,,,Foul,Cross/High Hook,,,Penalty 30 yards,,
Foul Received (2),587401,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Jesse Bray,JC Polo/Folded Hills,,91;44,Attacking 60,,,,,,Foul Received,Cross/High Hook,,,Penalty 30 yards,,
Penalty 30 yards,593286,15000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Bayne Bossom,JC Polo/Folded Hills,,,,,,,,,,,,,,Penalty 30 yards,Goal
Foul Received (3),601277,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Ben Soleimani,Cavallo Ranch,,61;159,Defending Half,,,,,,Foul Received,Reaching,,,Penalty 5,,
Foul (3),601277,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Will Busch,JC Polo/Folded Hills,,89;138,Attacking Half,,,,,,Foul,Reaching,,,Penalty 5,,
Throw-in (5),603539,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Throw-in,Chukka 2,2021,JC Polo/Folded Hills win throw-in,Bayne Bossom,JC Polo/Folded Hills,,,,,,,,,,,,,,,
Goal Cavallo Ranch (4),610594,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Tommy Alberdi,Cavallo Ranch,,75;1,Attacking 30,,Goal Cavallo Ranch,,,,,,,,,,
Penalty 5 (2),611461,30000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Penalty 5,Chukka 2,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,,,,,,,,,
Foul Received (4),620923,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Remy Muller,Cavallo Ranch,,78;21,Attacking 30,,,,,,Foul Received,Right of Way,,,Penalty 30 yards,,
Foul (4),620923,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Jesse Bray,JC Polo/Folded Hills,,73;277,Defending 30,,,,,,Foul,Right of Way,,,Penalty 30 yards,,
Penalty 30 yards (1),628576,15000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,,,,,,,,Penalty 30 yards,Goal
Throw-in (6),637428,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Throw-in,Chukka 2,2021,Cavallo Ranch win throw-in,Ben Soleimani,Cavallo Ranch,,,,,,,,,,,,,,,
Foul Received (5),659049,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Remy Muller,Cavallo Ranch,,85;203,Defending Half,,,,,,Foul Received,Dangerous Riding,,,Penalty 5B,,
Foul (5),659049,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Bayne Bossom,JC Polo/Folded Hills,,64;94,Attacking Half,,,,,,Foul,Dangerous Riding,,,Penalty 5B,,
Shot At Goal (15),660258,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 3,2021,,Remy Muller,Cavallo Ranch,Shot At Goal,61;56,Attacking 60,Wide,,,,,,,,,,,
Penalty 5b,671568,30000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Penalty 5b,Chukka 3,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,,,,,,,,,
Assist (6),676578,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 3,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,Unsuccessful,Tommy Alberdi,,,,,,,
Knock In (5),690096,40000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Knock In,Chukka 3,2021,,Jesse Bray,JC Polo/Folded Hills,,,,,,,,,,,,JC Polo/Folded Hills Player 4,,,
