Name,Position,Duration,Chukka,Set Play,Match Date,Umpire 2,Third Umpire,Camera Angle,Search Event,Club,Tournament,Game,Stage,Umpire 1,Instant Replay Official,Year,Throw-in Outcome,Team,Player,Foul,Foul Type,General Field Area,Location,Foul Outcome,Umpire Focal,Umpire Trailing,Shot At Goal,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Penalties,Penalty Outcome,Knock-in Player 2,Chukka Length
Shot At Goal (3),848933,35000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,Attacking 30,71;11,,,,Shot At Goal,Goal,,,,,,,,
Goal Las Monjitas (2),849733,35000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,Goal Las Monjitas,,,,,,,
Assist (2),864733,25000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,,,,,,,,,,Successful,Francisco Elizalde,,,,
Chukka Length,296300,613646,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,,,,,,,,,,,,,,,,,Chukka Length
Throw-in (4),1060200,20000,Chukka 2,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Patagones win throw-in,Patagones,Santiago Toccalino,,,,,,,,,,,,,,,,,
Shot At Goal (4),1048633,35000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,Attacking 30,23;33,,,,Shot At Goal,Wide,,,,,,,,
Assist (3),1066000,25000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Santiago Toccalino,,,,,,,,,,,,Unsuccessful,Santiago Toccalino,,,,
Knock In (2),1096733,40000,Chukka 2,Knock In,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,,,,,,,Francisco Elizalde,
Shot At Goal (5),1100533,35000,Chukka 2,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,Attacking Half,77;95,,,,Shot At Goal,Wide,,,,,,,,
Knock In (3),1148366,40000,Chukka 2,Knock In,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,,,Santiago Toccalino,
