Name,Position,Duration,Game,Stage,Third Umpire,Instant Replay Official,Umpire 2,Match Date,Umpire 1,Search Event,Camera Angle,Club,Year,Tournament,Set Play,Chukka,Throw-in Outcome,Player,Team,Chukka Length,Foul,Location,General Field Area,Foul Outcome,Foul Type,Umpire Trailing,Umpire Focal,Knock-in Player 2,Shot At Goal,Shot At Goal Outcome,Penalty Block,Goal,Highlight Reel,Assist Outcome,Assist,Penalties,Penalty Outcome
Foul Received (2),1238833,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Tomas Garcia Del Rio,Patagones,,Foul Received,96;27,Attacking 30,Penalty 30 yards,Dangerous Riding,,,,,,,,,,,,
Goal Patagones (1),1280133,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Santiago Toccalino,Patagones,,,73;4,Attacking 30,,,,,,,,,Goal Patagones,,,,,
Penalty 30 yards,1298566,15000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Santiago Toccalino,Patagones,,,,,,,,,,,,,,,,,Penalty 30 yards,Goal
Throw-in (5),1334900,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 2,Patagones win throw-in,Santiago Toccalino,Patagones,,,,,,,,,,,,,,,,,,
Shot At Goal (9),1398633,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Miguel N. Astrada,Old Hickory Bourbon,,,128;42,Attacking 60,,,,,,Shot At Goal,Wide,,,,,,,
Shot At Goal (10),1440200,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Geronimo Obregon,Patagones,,,78;25,Attacking 30,,,,,,Shot At Goal,Goal,,,,,,,
Goal Patagones (2),1441333,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Geronimo Obregon,Patagones,,,79;6,Attacking 30,,,,,,,,,Goal Patagones,,,,,
Knock In (4),1445433,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 2,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Assist (4),1456900,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Santiago Toccalino,Patagones,,,,,,,,,,,,,,,Successful,Santiago Toccalino,,
Throw-in (6),1498333,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 2,Old Hickory Bourbon win throw-in,Miguel N. Astrada,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Foul Received (3),1519066,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Will Johnston,Old Hickory Bourbon,,Foul Received,95;247,Defending 60,Penalty 5,Reaching,,,,,,,,,,,,
Foul (3),1519066,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Tomas Garcia Del Rio,Patagones,,Foul,57;49,Attacking 60,Penalty 5,Reaching,92;101,35;113,,,,,,,,,,
Penalty 5 (1),1785666,30000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Penalty 5,Chukka 3,,Miguel N. Astrada,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Chukka Length (2),1787666,769833,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,,Team,Chukka Length,,,,,,,,,,,,,,,,,
Foul (4),1807166,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Victorino Ruiz Jorba,Old Hickory Bourbon,,Foul,133;52,Attacking 60,Penalty 5,Right of Way,94;102,26;102,,,,,,,,,,
Foul Received (4),1807166,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Tomas Garcia Del Rio,Patagones,,Foul Received,14;247,Defending 60,Penalty 5,Right of Way,,,,,,,,,,,,
Penalty 5 (2),1846200,30000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Penalty 5,Chukka 3,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Shot At Goal (11),1893800,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Santiago Toccalino,Patagones,,,87;80,Attacking Half,,,,,,Shot At Goal,Wide,,,,,,,
Free Hit,1905833,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Free Hit,Chukka 3,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Foul (5),1942700,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Miguel N. Astrada,Old Hickory Bourbon,,Foul,51;275,Defending 30,Penalty 30 yards,Appealing,55;294,121;248,,,,,,,,,,
Knock In (5),1943833,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 3,,Stephen Orthwein,Old Hickory Bourbon,,,,,,,,,Miguel N. Astrada,,,,,,,,,
Yellow Card,1975033,10000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Miguel N. Astrada,Old Hickory Bourbon,,Yellow Card,,,,Appealing,,,,,,,,,,,,
Yellow Card (1),2015066,10000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Stephen Orthwein,Old Hickory Bourbon,,Yellow Card,,,,Appealing,,,,,,,,,,,,
Goal Patagones (3),2104200,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,Goal Patagones,,,,,
Penalty 30 yards (1),2123000,15000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,Penalty 30 yards,Goal
Foul (6),2158466,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Stephen Orthwein,Old Hickory Bourbon,,Foul,89;129,Attacking Half,Penalty 5,Crossing,70;125,139;166,,,,,,,,,,
Foul Received (5),2158466,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Tomas Garcia Del Rio,Patagones,,Foul Received,57;167,Defending Half,Penalty 5,Crossing,,,,,,,,,,,,
Throw-in (7),2159200,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 3,Patagones win throw-in,Miguel N. Astrada,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Shot At Goal (12),2187800,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Gonzalo Avendano,Patagones,,,57;59,Attacking 60,,,,,,Shot At Goal,Goal,,,,,,,
Goal Patagones (4),2191000,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Gonzalo Avendano,Patagones,,,76;4,Attacking 30,,,,,,,,,Goal Patagones,,,,,
Penalty 5 (3),2207233,30000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Penalty 5,Chukka 3,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Throw-in (8),2243633,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 3,Patagones win throw-in,Santiago Toccalino,Patagones,,,,,,,,,,,,,,,,,,
Foul (7),2245100,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Geronimo Obregon,Patagones,,Foul,91;51,Attacking 60,Penalty 5,Right of Way,137;102,76;86,,,,,,,,,,
Foul Received (6),2245100,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Victorino Ruiz Jorba,Old Hickory Bourbon,,Foul Received,53;268,Defending 30,Penalty 5,Right of Way,,,,,,,,,,,,
Penalty 5 (4),2323533,30000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Penalty 5,Chukka 3,,Stephen Orthwein,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Shot At Goal (13),2328766,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Stephen Orthwein,Old Hickory Bourbon,,,59;47,Attacking 60,,,,,,Shot At Goal,Goal,,,,,,,
Goal Old Hickory Bourbon (3),2330133,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Stephen Orthwein,Old Hickory Bourbon,,,79;6,Attacking 30,,,,,,,,,Goal Old Hickory Bourbon,,,,,
Throw-in (9),2384200,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 3,Old Hickory Bourbon win throw-in,Stephen Orthwein,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Shot At Goal (14),2433700,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Santiago Toccalino,Patagones,,,53;61,Attacking 60,,,,,,Shot At Goal,Goal,,,,,,,
Goal Patagones (5),2437600,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Santiago Toccalino,Patagones,,,79;6,Attacking 30,,,,,,,,,Goal Patagones,,,,,
Assist (5),2453133,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 3,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,Successful,Tomas Garcia Del Rio,,
