Name,Position,Duration,Match Date,Game,Tournament,Stage,Umpire 2,Umpire 1,Third Umpire,Search Event,Instant Replay Official,Camera Angle,Club,Set Play,Year,Chukka,Throw-in Outcome,Player,Team,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Knock-in Player 2,Penalty Block,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Chukka Length
Penalty 30 yards (2),2471866,15000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,Penalty 30 yards,Goal,
Goal Tonkawa (4),2453200,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Sapo Caset,Tonkawa,,76;6,Attacking 30,,Goal Tonkawa,,,,,,,,,,,,,
Yellow Card,2491866,10000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Lucas Escobar,Pilot,,,,,,,,,,,Yellow Card,Dangerous Riding,,,,,,
Throw-in (10),2504800,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 3,Tonkawa win throw-in,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,,,
Shot At Goal (14),2500133,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Sapo Caset,Tonkawa,Shot At Goal,96;40,Attacking 60,Goal,,,,,,,,,,,,,,
Goal Tonkawa (5),2502433,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Sapo Caset,Tonkawa,,71;6,Attacking 30,,Goal Tonkawa,,,,,,,,,,,,,
Assist (4),2518833,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Ignacio Toccalino,Tonkawa,,,,,,,Successful,Ignacio Toccalino,,,,,,,,,,
Throw-in (11),2561300,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 3,Tonkawa win throw-in,Matias Gonzalez,Tonkawa,,,,,,,,,,,,,,,,,,
Foul (4),2566733,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Sapo Caset,Tonkawa,,79;85,Attacking Half,,,,,,,,Foul,Near Side,Penalty 5,139;102,57;108,,,
Foul Received (4),2566733,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Facundo Pieres,Pilot,,57;220,Defending Half,,,,,,,,Foul Received,Near Side,Penalty 5,,,,,
Penalty 5 (1),2613861,30000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Penalty 5,2020,Chukka 3,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Foul (5),2624666,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Facundo Pieres,Pilot,,20;72,Attacking 60,,,,,,,,Foul,Right of Way,Penalty 5,3;102,80;113,,,
Foul Received (5),2624666,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Sapo Caset,Tonkawa,,127;226,Defending Half,,,,,,,,Foul Received,Right of Way,Penalty 5,,,,,
Penalty 5 (2),2674066,30000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Penalty 5,2020,Chukka 3,,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,,,
Foul (6),2676300,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Ignacio Toccalino,Tonkawa,,110;209,Defending Half,,,,,,,,Foul,Right of Way,Penalty 5,144;201,60;192,,,
Foul Received (6),2676300,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Facundo Pieres,Pilot,,33;88,Attacking Half,,,,,,,,Foul Received,Right of Way,Penalty 5,,,,,
Penalty 5 (3),2724600,30000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Penalty 5,2020,Chukka 3,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Foul (7),2792866,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Lucas Escobar,Pilot,,82;54,Attacking 60,,,,,,,,Foul,Crossing,Penalty 5,135;120,16;111,,,
